,in,dur,out,init_soc
2000,21.0,1.0,22.0,0.4
2001,9.0,1.0,10.0,0.3
2002,8.0,9.0,17.0,0.4
2003,14.0,21.0,35.0,0.6
2004,18.0,14.0,32.0,0.4
2005,10.0,3.0,13.0,0.6
2006,11.0,0.0,11.0,0.3
2007,20.0,15.0,35.0,0.3
2008,15.0,21.0,36.0,0.4
2009,23.0,8.0,31.0,0.9
2010,9.0,2.0,11.0,0.3
2011,16.0,21.0,37.0,0.6
2012,10.0,1.0,11.0,0.6
2013,19.0,0.0,19.0,0.7
2014,19.0,12.0,31.0,0.8
2015,16.0,1.0,17.0,1.0
2016,16.0,16.0,32.0,0.6
2017,16.0,13.0,29.0,0.5
2018,13.0,21.0,34.0,0.7
2019,17.0,1.0,18.0,0.6
2020,9.0,6.0,15.0,0.7
2021,13.0,0.0,13.0,0.2
2022,11.0,0.0,11.0,0.6
2023,18.0,19.0,37.0,0.6
2024,19.0,0.0,19.0,0.8
2025,14.0,0.0,14.0,0.8
2026,18.0,1.0,19.0,0.7
2027,16.0,1.0,17.0,0.2
2028,11.0,0.0,11.0,0.4
2029,13.0,1.0,14.0,0.3
2030,10.0,0.0,10.0,0.8
2031,12.0,0.0,12.0,0.8
2032,19.0,5.0,24.0,0.8
2033,13.0,7.0,20.0,0.9
2034,16.0,0.0,16.0,0.4
2035,19.0,10.0,29.0,0.5
2036,8.0,9.0,17.0,0.2
2037,10.0,0.0,10.0,0.6
2038,21.0,10.0,31.0,0.4
2039,10.0,23.0,33.0,0.3
2040,14.0,4.0,18.0,0.7
2041,14.0,1.0,15.0,0.6
2042,14.0,4.0,18.0,0.3
2043,19.0,12.0,31.0,0.5
2044,15.0,22.0,37.0,0.4
2045,19.0,13.0,32.0,0.2
2046,19.0,13.0,32.0,0.7
2047,10.0,8.0,18.0,0.6
2048,16.0,19.0,35.0,0.3
2049,12.0,0.0,12.0,0.4
2050,14.0,18.0,32.0,0.7
2051,17.0,0.0,17.0,0.6
2052,8.0,3.0,11.0,0.8
2053,17.0,14.0,31.0,0.5
2054,18.0,13.0,31.0,0.5
2055,20.0,11.0,31.0,0.2
2056,19.0,4.0,23.0,0.2
2057,18.0,0.0,18.0,1.0
2058,7.0,10.0,17.0,0.4
2059,14.0,0.0,14.0,0.3
2060,19.0,2.0,21.0,0.5
2061,16.0,18.0,34.0,0.6
2062,18.0,17.0,35.0,0.4
2063,8.0,8.0,16.0,0.6
2064,17.0,12.0,29.0,0.8
2065,24.0,7.0,31.0,0.4
2066,13.0,2.0,15.0,0.4
2067,18.0,13.0,31.0,0.9
2068,19.0,1.0,20.0,0.2
2069,20.0,16.0,36.0,0.2
2070,20.0,2.0,22.0,0.3
2071,9.0,1.0,10.0,0.6
2072,14.0,0.0,14.0,0.5
2073,11.0,5.0,16.0,0.3
2074,13.0,20.0,33.0,0.4
2075,7.0,1.0,8.0,0.4
2076,14.0,0.0,14.0,0.9
2077,9.0,3.0,12.0,0.6
2078,12.0,3.0,15.0,0.3
2079,13.0,21.0,34.0,0.3
2080,13.0,23.0,36.0,0.9
2081,10.0,2.0,12.0,0.5
2082,14.0,23.0,37.0,0.6
2083,11.0,3.0,14.0,0.5
2084,16.0,5.0,21.0,0.8
2085,18.0,2.0,20.0,0.4
2086,18.0,18.0,36.0,0.2
2087,16.0,17.0,33.0,0.2
2088,17.0,1.0,18.0,0.4
2089,17.0,21.0,38.0,0.3
2090,9.0,8.0,17.0,0.4
2091,17.0,15.0,32.0,0.1
2092,21.0,10.0,31.0,0.6
2093,16.0,13.0,29.0,0.7
2094,19.0,10.0,29.0,0.2
2095,11.0,7.0,18.0,0.9
2096,14.0,1.0,15.0,0.4
2097,12.0,0.0,12.0,1.0
2098,7.0,6.0,13.0,1.0
2099,13.0,1.0,14.0,0.2
2100,8.0,8.0,16.0,0.2
2101,8.0,4.0,12.0,0.8
2102,15.0,19.0,34.0,0.2
2103,9.0,9.0,18.0,0.9
2104,19.0,0.0,19.0,0.7
2105,15.0,1.0,16.0,0.5
2106,22.0,12.0,34.0,0.4
2107,19.0,3.0,22.0,0.8
2108,9.0,1.0,10.0,0.6
2109,11.0,3.0,14.0,0.4
2110,13.0,4.0,17.0,0.6
2111,8.0,8.0,16.0,1.0
2112,12.0,4.0,16.0,0.7
2113,16.0,0.0,16.0,0.3
2114,13.0,2.0,15.0,0.9
2115,20.0,12.0,32.0,0.5
2116,17.0,15.0,32.0,0.8
2117,13.0,0.0,13.0,0.2
2118,13.0,0.0,13.0,0.5
2119,11.0,0.0,11.0,0.4
2120,22.0,17.0,39.0,1.0
2121,17.0,20.0,37.0,1.0
2122,9.0,8.0,17.0,0.8
2123,19.0,16.0,35.0,0.3
2124,8.0,4.0,12.0,1.0
2125,9.0,9.0,18.0,0.5
2126,15.0,1.0,16.0,0.2
2127,18.0,13.0,31.0,0.5
2128,13.0,0.0,13.0,0.5
2129,20.0,11.0,31.0,0.3
2130,14.0,2.0,16.0,0.5
2131,16.0,0.0,16.0,0.8
2132,10.0,7.0,17.0,0.9
2133,14.0,0.0,14.0,0.2
2134,14.0,2.0,16.0,0.7
2135,22.0,9.0,31.0,0.3
2136,12.0,0.0,12.0,0.8
2137,19.0,15.0,34.0,0.7
2138,22.0,6.0,28.0,0.1
2139,15.0,20.0,35.0,0.7
2140,17.0,2.0,19.0,0.3
2141,13.0,1.0,14.0,0.5
2142,7.0,5.0,12.0,0.5
2143,18.0,15.0,33.0,0.2
2144,10.0,2.0,12.0,0.6
2145,22.0,2.0,24.0,0.5
2146,22.0,10.0,32.0,0.8
2147,17.0,18.0,35.0,0.7
2148,10.0,1.0,11.0,0.2
2149,12.0,0.0,12.0,1.0
2150,15.0,1.0,16.0,0.5
2151,10.0,1.0,11.0,0.8
2152,17.0,0.0,17.0,0.6
2153,20.0,0.0,20.0,0.2
2154,9.0,1.0,10.0,0.7
2155,18.0,11.0,29.0,0.7
2156,19.0,13.0,32.0,0.4
2157,18.0,0.0,18.0,0.6
2158,13.0,3.0,16.0,0.6
2159,21.0,8.0,29.0,0.8
2160,13.0,2.0,15.0,0.4
2161,18.0,13.0,31.0,0.9
2162,20.0,1.0,21.0,0.9
2163,8.0,8.0,16.0,1.0
2164,17.0,13.0,30.0,0.1
2165,15.0,18.0,33.0,0.1
2166,22.0,23.0,45.0,0.6
2167,8.0,9.0,17.0,0.6
2168,17.0,2.0,19.0,0.7
2169,17.0,13.0,30.0,0.4
2170,12.0,2.0,14.0,0.4
2171,16.0,22.0,38.0,0.5
2172,8.0,0.0,8.0,0.3
2173,8.0,9.0,17.0,0.8
2174,17.0,1.0,18.0,0.2
2175,10.0,21.0,31.0,0.8
2176,12.0,5.0,17.0,0.3
2177,16.0,19.0,35.0,0.6
2178,9.0,5.0,14.0,0.8
2179,12.0,0.0,12.0,0.8
2180,12.0,0.0,12.0,0.4
2181,15.0,1.0,16.0,0.3
2182,20.0,1.0,21.0,0.5
2183,16.0,19.0,35.0,0.2
2184,21.0,12.0,33.0,0.5
2185,8.0,8.0,16.0,0.8
2186,21.0,10.0,31.0,0.2
2187,8.0,7.0,15.0,0.7
2188,16.0,2.0,18.0,0.9
2189,12.0,1.0,13.0,0.5
2190,1.0,23.0,24.0,0.8
2191,9.0,8.0,17.0,1.0
2192,16.0,16.0,32.0,0.2
2193,9.0,8.0,17.0,0.9
2194,16.0,3.0,19.0,0.5
2195,17.0,13.0,30.0,0.7
2196,18.0,14.0,32.0,0.8
2197,8.0,3.0,11.0,0.8
2198,21.0,20.0,41.0,0.7
2199,9.0,4.0,13.0,0.7
2200,8.0,0.0,8.0,0.8
2201,8.0,8.0,16.0,0.8
2202,9.0,9.0,18.0,0.4
2203,11.0,0.0,11.0,0.3
2204,12.0,0.0,12.0,0.6
2205,19.0,2.0,21.0,0.5
2206,8.0,2.0,10.0,0.6
2207,20.0,12.0,32.0,0.9
2208,11.0,1.0,12.0,0.5
2209,12.0,5.0,17.0,0.6
2210,17.0,0.0,17.0,0.5
2211,18.0,0.0,18.0,0.4
2212,12.0,0.0,12.0,0.5
2213,14.0,2.0,16.0,0.7
2214,15.0,1.0,16.0,0.6
2215,13.0,0.0,13.0,0.2
2216,9.0,8.0,17.0,0.9
2217,22.0,10.0,32.0,0.1
2218,13.0,0.0,13.0,0.6
2219,17.0,22.0,39.0,0.4
2220,19.0,14.0,33.0,0.2
2221,15.0,20.0,35.0,0.7
2222,13.0,22.0,35.0,1.0
2223,8.0,9.0,17.0,0.7
2224,21.0,10.0,31.0,0.4
2225,18.0,3.0,21.0,0.8
2226,14.0,0.0,14.0,0.6
2227,7.0,10.0,17.0,0.9
2228,10.0,1.0,11.0,0.9
2229,19.0,13.0,32.0,0.3
2230,10.0,0.0,10.0,0.6
2231,12.0,1.0,13.0,1.0
2232,15.0,0.0,15.0,0.2
2233,9.0,1.0,10.0,0.9
2234,13.0,20.0,33.0,0.4
2235,11.0,1.0,12.0,1.0
2236,9.0,22.0,31.0,0.3
2237,15.0,21.0,36.0,0.5
2238,10.0,22.0,32.0,0.7
2239,20.0,13.0,33.0,0.2
2240,22.0,9.0,31.0,0.2
2241,16.0,22.0,38.0,0.7
2242,10.0,0.0,10.0,0.4
2243,13.0,4.0,17.0,0.5
2244,8.0,9.0,17.0,0.3
2245,9.0,4.0,13.0,0.2
2246,13.0,5.0,18.0,0.4
2247,15.0,4.0,19.0,0.5
2248,9.0,9.0,18.0,0.5
2249,23.0,4.0,27.0,0.3
2250,9.0,1.0,10.0,0.8
2251,16.0,3.0,19.0,0.8
2252,11.0,5.0,16.0,0.6
2253,7.0,10.0,17.0,0.7
2254,19.0,13.0,32.0,0.7
2255,19.0,5.0,24.0,1.0
2256,19.0,2.0,21.0,0.8
2257,14.0,0.0,14.0,0.4
2258,9.0,8.0,17.0,0.7
2259,18.0,13.0,31.0,0.7
2260,8.0,6.0,14.0,0.8
2261,13.0,1.0,14.0,0.9
2262,13.0,4.0,17.0,0.3
2263,13.0,4.0,17.0,0.6
2264,11.0,1.0,12.0,0.2
2265,19.0,12.0,31.0,0.2
2266,14.0,0.0,14.0,0.4
2267,18.0,14.0,32.0,0.8
2268,8.0,0.0,8.0,0.2
2269,9.0,0.0,9.0,0.7
2270,14.0,2.0,16.0,0.2
2271,7.0,7.0,14.0,0.8
2272,13.0,6.0,19.0,0.4
2273,20.0,13.0,33.0,0.6
2274,8.0,9.0,17.0,0.4
2275,7.0,0.0,7.0,0.2
2276,9.0,0.0,9.0,0.7
2277,18.0,17.0,35.0,0.8
2278,13.0,0.0,13.0,0.3
2279,10.0,7.0,17.0,0.8
2280,13.0,4.0,17.0,0.3
2281,20.0,9.0,29.0,0.4
2282,22.0,10.0,32.0,0.6
2283,16.0,0.0,16.0,0.7
2284,19.0,1.0,20.0,0.2
2285,14.0,0.0,14.0,0.4
2286,21.0,0.0,21.0,0.3
2287,19.0,13.0,32.0,0.6
2288,19.0,6.0,25.0,0.4
2289,9.0,22.0,31.0,0.5
2290,18.0,13.0,31.0,0.5
2291,13.0,1.0,14.0,0.4
2292,11.0,0.0,11.0,0.3
2293,8.0,22.0,30.0,0.2
2294,22.0,20.0,42.0,1.0
2295,10.0,1.0,11.0,0.3
2296,7.0,8.0,15.0,0.7
2297,17.0,19.0,36.0,0.5
2298,22.0,14.0,36.0,0.8
2299,6.0,6.0,12.0,0.5
2300,21.0,15.0,36.0,0.2
2301,18.0,20.0,38.0,0.8
2302,10.0,2.0,12.0,0.9
2303,9.0,7.0,16.0,0.8
2304,17.0,20.0,37.0,0.4
2305,12.0,18.0,30.0,0.3
2306,17.0,1.0,18.0,0.4
2307,7.0,11.0,18.0,0.4
2308,16.0,0.0,16.0,0.7
2309,15.0,21.0,36.0,0.3
2310,19.0,15.0,34.0,0.7
2311,9.0,2.0,11.0,0.2
2312,17.0,16.0,33.0,0.7
2313,16.0,0.0,16.0,0.4
2314,11.0,0.0,11.0,0.6
2315,16.0,15.0,31.0,0.6
2316,19.0,13.0,32.0,0.4
2317,14.0,1.0,15.0,0.8
2318,23.0,7.0,30.0,0.1
2319,12.0,1.0,13.0,0.7
2320,10.0,0.0,10.0,0.5
2321,11.0,1.0,12.0,0.5
2322,13.0,1.0,14.0,0.7
2323,17.0,13.0,30.0,0.5
2324,12.0,6.0,18.0,0.5
2325,16.0,15.0,31.0,0.6
2326,20.0,21.0,41.0,0.2
2327,17.0,0.0,17.0,0.7
2328,8.0,4.0,12.0,0.4
2329,13.0,5.0,18.0,0.8
2330,15.0,7.0,22.0,0.6
2331,15.0,0.0,15.0,0.7
2332,13.0,18.0,31.0,0.2
2333,15.0,20.0,35.0,0.9
2334,20.0,1.0,21.0,0.5
2335,13.0,0.0,13.0,0.6
2336,16.0,0.0,16.0,0.6
2337,17.0,21.0,38.0,0.3
2338,8.0,9.0,17.0,0.3
2339,15.0,4.0,19.0,0.5
2340,12.0,0.0,12.0,0.7
2341,18.0,20.0,38.0,0.6
2342,9.0,1.0,10.0,0.2
2343,15.0,2.0,17.0,0.6
2344,8.0,1.0,9.0,0.5
2345,9.0,6.0,15.0,0.7
2346,20.0,12.0,32.0,0.7
2347,20.0,0.0,20.0,0.4
2348,10.0,8.0,18.0,0.5
2349,18.0,2.0,20.0,0.6
2350,8.0,8.0,16.0,0.7
2351,11.0,0.0,11.0,0.6
2352,21.0,12.0,33.0,0.6
2353,7.0,2.0,9.0,0.3
2354,8.0,8.0,16.0,0.4
2355,19.0,10.0,29.0,0.7
2356,8.0,3.0,11.0,0.9
2357,11.0,0.0,11.0,0.5
2358,24.0,2.0,26.0,0.1
2359,21.0,10.0,31.0,0.8
2360,11.0,22.0,33.0,0.8
2361,14.0,0.0,14.0,1.0
2362,9.0,6.0,15.0,0.4
2363,20.0,0.0,20.0,0.3
2364,19.0,0.0,19.0,0.2
2365,16.0,0.0,16.0,0.8
2366,16.0,20.0,36.0,0.9
2367,8.0,0.0,8.0,0.9
2368,2.0,10.0,12.0,0.6
2369,20.0,12.0,32.0,0.8
2370,19.0,1.0,20.0,0.3
2371,7.0,1.0,8.0,0.3
2372,14.0,2.0,16.0,0.4
2373,18.0,1.0,19.0,0.4
2374,15.0,2.0,17.0,0.9
2375,18.0,5.0,23.0,0.8
2376,18.0,4.0,22.0,0.8
2377,15.0,0.0,15.0,0.7
2378,11.0,1.0,12.0,0.4
2379,21.0,9.0,30.0,0.2
2380,10.0,0.0,10.0,0.2
2381,20.0,0.0,20.0,0.8
2382,17.0,0.0,17.0,0.5
2383,11.0,22.0,33.0,0.6
2384,8.0,0.0,8.0,0.8
2385,21.0,19.0,40.0,0.5
2386,14.0,21.0,35.0,0.4
2387,19.0,23.0,42.0,0.2
2388,17.0,2.0,19.0,0.9
2389,15.0,0.0,15.0,1.0
2390,11.0,0.0,11.0,0.6
2391,16.0,0.0,16.0,0.7
2392,7.0,12.0,19.0,0.6
2393,18.0,12.0,30.0,1.0
2394,12.0,22.0,34.0,0.9
2395,21.0,1.0,22.0,0.2
2396,10.0,0.0,10.0,0.8
2397,9.0,7.0,16.0,0.1
2398,16.0,2.0,18.0,0.6
2399,23.0,16.0,39.0,0.1
2400,16.0,22.0,38.0,1.0
2401,16.0,1.0,17.0,0.2
2402,16.0,6.0,22.0,0.9
2403,14.0,18.0,32.0,0.3
2404,7.0,1.0,8.0,0.9
2405,16.0,0.0,16.0,0.6
2406,18.0,2.0,20.0,0.5
2407,11.0,23.0,34.0,0.4
2408,8.0,1.0,9.0,0.8
2409,22.0,19.0,41.0,0.2
2410,15.0,0.0,15.0,0.5
2411,13.0,0.0,13.0,0.5
2412,15.0,18.0,33.0,0.7
2413,11.0,5.0,16.0,0.9
2414,19.0,12.0,31.0,0.2
2415,17.0,21.0,38.0,0.4
2416,11.0,2.0,13.0,0.6
2417,17.0,14.0,31.0,0.4
2418,16.0,1.0,17.0,0.5
2419,13.0,9.0,22.0,0.9
2420,15.0,0.0,15.0,1.0
2421,13.0,1.0,14.0,0.9
2422,13.0,1.0,14.0,0.4
2423,10.0,1.0,11.0,0.5
2424,20.0,12.0,32.0,0.1
2425,9.0,7.0,16.0,0.5
2426,17.0,14.0,31.0,0.6
2427,18.0,13.0,31.0,0.5
2428,18.0,12.0,30.0,0.6
2429,10.0,2.0,12.0,0.6
2430,16.0,13.0,29.0,0.6
2431,7.0,8.0,15.0,0.9
2432,20.0,1.0,21.0,0.2
2433,16.0,9.0,25.0,0.4
2434,20.0,12.0,32.0,0.7
2435,18.0,13.0,31.0,0.4
2436,21.0,12.0,33.0,1.0
2437,10.0,1.0,11.0,1.0
2438,19.0,22.0,41.0,0.4
2439,16.0,6.0,22.0,0.7
2440,9.0,3.0,12.0,0.7
2441,12.0,1.0,13.0,0.2
2442,17.0,3.0,20.0,0.3
2443,14.0,3.0,17.0,0.8
2444,18.0,0.0,18.0,0.4
2445,13.0,19.0,32.0,0.5
2446,17.0,12.0,29.0,0.8
2447,21.0,1.0,22.0,0.7
2448,17.0,6.0,23.0,0.3
2449,17.0,14.0,31.0,0.2
2450,12.0,0.0,12.0,0.2
2451,6.0,1.0,7.0,0.9
2452,8.0,0.0,8.0,0.5
2453,7.0,11.0,18.0,0.1
2454,21.0,12.0,33.0,0.2
2455,8.0,4.0,12.0,0.9
2456,13.0,4.0,17.0,0.5
2457,18.0,1.0,19.0,0.1
2458,8.0,5.0,13.0,0.6
2459,9.0,0.0,9.0,0.3
2460,12.0,2.0,14.0,1.0
2461,9.0,8.0,17.0,0.3
2462,12.0,0.0,12.0,0.9
2463,11.0,0.0,11.0,0.4
2464,16.0,3.0,19.0,0.1
2465,12.0,6.0,18.0,0.8
2466,8.0,4.0,12.0,0.5
2467,15.0,2.0,17.0,0.5
2468,10.0,0.0,10.0,0.8
2469,12.0,0.0,12.0,0.2
2470,9.0,6.0,15.0,0.2
2471,18.0,13.0,31.0,1.0
2472,8.0,5.0,13.0,1.0
2473,9.0,2.0,11.0,0.8
2474,9.0,8.0,17.0,0.3
2475,21.0,11.0,32.0,0.6
2476,22.0,15.0,37.0,0.4
2477,9.0,2.0,11.0,1.0
2478,3.0,4.0,7.0,0.8
2479,13.0,1.0,14.0,0.8
2480,22.0,22.0,44.0,0.6
2481,20.0,11.0,31.0,0.2
2482,19.0,17.0,36.0,0.2
2483,11.0,0.0,11.0,0.4
2484,18.0,13.0,31.0,0.7
2485,16.0,2.0,18.0,0.5
2486,11.0,3.0,14.0,0.6
2487,18.0,13.0,31.0,0.3
2488,11.0,23.0,34.0,0.8
2489,9.0,8.0,17.0,0.6
2490,9.0,1.0,10.0,0.9
2491,8.0,13.0,21.0,1.0
2492,20.0,15.0,35.0,0.7
2493,16.0,1.0,17.0,0.5
2494,9.0,1.0,10.0,0.8
2495,18.0,12.0,30.0,0.6
2496,21.0,11.0,32.0,0.8
2497,11.0,1.0,12.0,0.8
2498,20.0,13.0,33.0,0.6
2499,20.0,11.0,31.0,0.2
2500,18.0,0.0,18.0,0.5
2501,11.0,2.0,13.0,0.3
2502,9.0,9.0,18.0,1.0
2503,17.0,2.0,19.0,0.6
2504,18.0,1.0,19.0,0.4
2505,11.0,21.0,32.0,0.4
2506,6.0,5.0,11.0,0.5
2507,7.0,4.0,11.0,0.4
2508,20.0,9.0,29.0,0.8
2509,12.0,1.0,13.0,0.5
2510,18.0,1.0,19.0,0.4
2511,14.0,0.0,14.0,0.9
2512,19.0,12.0,31.0,0.9
2513,9.0,8.0,17.0,0.8
2514,17.0,0.0,17.0,0.4
2515,11.0,2.0,13.0,0.9
2516,17.0,1.0,18.0,0.3
2517,19.0,12.0,31.0,0.6
2518,9.0,1.0,10.0,0.8
2519,15.0,3.0,18.0,0.6
2520,14.0,1.0,15.0,0.2
2521,11.0,0.0,11.0,0.2
2522,16.0,1.0,17.0,0.6
2523,14.0,20.0,34.0,0.4
2524,8.0,4.0,12.0,0.9
2525,15.0,6.0,21.0,0.7
2526,16.0,7.0,23.0,0.1
2527,7.0,11.0,18.0,0.7
2528,10.0,7.0,17.0,0.7
2529,20.0,13.0,33.0,0.4
2530,17.0,0.0,17.0,0.9
2531,11.0,22.0,33.0,0.2
2532,12.0,21.0,33.0,0.8
2533,11.0,0.0,11.0,0.6
2534,16.0,14.0,30.0,0.2
2535,11.0,23.0,34.0,0.2
2536,8.0,4.0,12.0,0.3
2537,15.0,3.0,18.0,0.1
2538,13.0,0.0,13.0,0.7
2539,14.0,20.0,34.0,0.5
2540,19.0,18.0,37.0,0.6
2541,8.0,1.0,9.0,1.0
2542,14.0,0.0,14.0,0.2
2543,23.0,14.0,37.0,0.6
2544,17.0,4.0,21.0,0.7
2545,7.0,0.0,7.0,0.4
2546,9.0,8.0,17.0,0.8
2547,10.0,7.0,17.0,0.4
2548,21.0,13.0,34.0,0.6
2549,18.0,21.0,39.0,0.6
2550,17.0,15.0,32.0,0.6
2551,16.0,14.0,30.0,0.6
2552,16.0,1.0,17.0,0.2
2553,17.0,19.0,36.0,0.5
2554,14.0,3.0,17.0,0.2
2555,18.0,14.0,32.0,0.5
2556,17.0,13.0,30.0,0.3
2557,19.0,12.0,31.0,0.8
2558,11.0,1.0,12.0,0.4
2559,17.0,12.0,29.0,0.6
2560,17.0,0.0,17.0,0.2
2561,18.0,2.0,20.0,0.7
2562,9.0,6.0,15.0,0.7
2563,15.0,18.0,33.0,0.3
2564,12.0,1.0,13.0,0.4
2565,20.0,1.0,21.0,0.4
2566,10.0,3.0,13.0,0.4
2567,21.0,0.0,21.0,0.7
2568,9.0,8.0,17.0,0.8
2569,11.0,2.0,13.0,0.7
2570,17.0,21.0,38.0,0.5
2571,9.0,12.0,21.0,0.6
2572,10.0,0.0,10.0,0.2
2573,21.0,12.0,33.0,0.5
2574,15.0,0.0,15.0,0.4
2575,23.0,12.0,35.0,0.3
2576,16.0,6.0,22.0,0.5
2577,13.0,0.0,13.0,0.6
2578,7.0,9.0,16.0,0.6
2579,18.0,0.0,18.0,0.8
2580,17.0,20.0,37.0,0.2
2581,22.0,14.0,36.0,0.5
2582,19.0,1.0,20.0,0.1
2583,23.0,23.0,46.0,0.4
2584,8.0,7.0,15.0,0.3
2585,16.0,15.0,31.0,0.7
2586,10.0,0.0,10.0,0.9
2587,7.0,8.0,15.0,0.8
2588,18.0,21.0,39.0,0.7
2589,18.0,14.0,32.0,0.4
2590,11.0,3.0,14.0,0.3
2591,11.0,1.0,12.0,0.3
2592,17.0,22.0,39.0,0.4
2593,12.0,2.0,14.0,0.2
2594,13.0,0.0,13.0,0.9
2595,18.0,14.0,32.0,0.6
2596,10.0,1.0,11.0,0.5
2597,21.0,13.0,34.0,0.4
2598,11.0,1.0,12.0,1.0
2599,15.0,0.0,15.0,0.3
2600,13.0,20.0,33.0,0.7
2601,18.0,13.0,31.0,0.6
2602,17.0,15.0,32.0,1.0
2603,18.0,23.0,41.0,0.9
2604,9.0,10.0,19.0,0.6
2605,9.0,8.0,17.0,0.4
2606,10.0,2.0,12.0,0.4
2607,9.0,8.0,17.0,0.6
2608,17.0,0.0,17.0,0.6
2609,11.0,1.0,12.0,0.4
2610,22.0,9.0,31.0,0.4
2611,16.0,13.0,29.0,0.4
2612,15.0,2.0,17.0,0.5
2613,21.0,23.0,44.0,0.8
2614,21.0,8.0,29.0,0.3
2615,8.0,6.0,14.0,0.6
2616,15.0,1.0,16.0,0.9
2617,13.0,0.0,13.0,0.3
2618,11.0,22.0,33.0,0.7
2619,10.0,3.0,13.0,0.9
2620,23.0,9.0,32.0,0.6
2621,15.0,6.0,21.0,0.8
2622,23.0,17.0,40.0,0.4
2623,8.0,9.0,17.0,0.5
2624,11.0,4.0,15.0,0.4
2625,11.0,23.0,34.0,0.3
2626,9.0,8.0,17.0,0.4
2627,8.0,1.0,9.0,0.2
2628,8.0,7.0,15.0,0.7
2629,19.0,10.0,29.0,0.9
2630,18.0,14.0,32.0,0.6
2631,7.0,8.0,15.0,0.4
2632,7.0,12.0,19.0,0.3
2633,8.0,1.0,9.0,0.6
2634,16.0,22.0,38.0,0.5
2635,18.0,14.0,32.0,0.4
2636,15.0,22.0,37.0,0.2
2637,12.0,23.0,35.0,0.7
2638,11.0,0.0,11.0,0.8
2639,18.0,1.0,19.0,0.8
2640,12.0,3.0,15.0,0.6
2641,11.0,0.0,11.0,0.3
2642,19.0,13.0,32.0,0.4
2643,20.0,10.0,30.0,0.9
2644,21.0,21.0,42.0,0.5
2645,16.0,1.0,17.0,1.0
2646,13.0,0.0,13.0,0.8
2647,15.0,1.0,16.0,0.6
2648,1.0,12.0,13.0,0.5
2649,13.0,0.0,13.0,0.3
2650,12.0,0.0,12.0,0.8
2651,22.0,9.0,31.0,0.2
2652,12.0,3.0,15.0,0.5
2653,14.0,2.0,16.0,0.3
2654,18.0,11.0,29.0,0.7
2655,16.0,0.0,16.0,0.7
2656,14.0,1.0,15.0,0.4
2657,10.0,20.0,30.0,0.5
2658,18.0,13.0,31.0,0.9
2659,13.0,0.0,13.0,0.7
2660,12.0,2.0,14.0,0.6
2661,15.0,1.0,16.0,1.0
2662,22.0,20.0,42.0,0.6
2663,7.0,1.0,8.0,0.2
2664,9.0,9.0,18.0,0.5
2665,15.0,1.0,16.0,0.6
2666,17.0,0.0,17.0,0.9
2667,17.0,13.0,30.0,0.3
2668,10.0,1.0,11.0,0.3
2669,20.0,1.0,21.0,0.5
2670,11.0,0.0,11.0,0.5
2671,15.0,1.0,16.0,0.7
2672,13.0,0.0,13.0,0.9
2673,10.0,8.0,18.0,0.2
2674,18.0,2.0,20.0,0.4
2675,13.0,1.0,14.0,0.5
2676,7.0,8.0,15.0,0.1
2677,21.0,8.0,29.0,0.6
2678,7.0,1.0,8.0,0.7
2679,11.0,0.0,11.0,0.9
2680,9.0,3.0,12.0,0.5
2681,17.0,23.0,40.0,0.3
2682,18.0,0.0,18.0,0.3
2683,17.0,18.0,35.0,0.9
2684,17.0,4.0,21.0,0.4
2685,16.0,15.0,31.0,0.5
2686,20.0,22.0,42.0,0.5
2687,24.0,17.0,41.0,0.1
2688,11.0,23.0,34.0,0.3
2689,16.0,0.0,16.0,0.2
2690,10.0,1.0,11.0,1.0
2691,17.0,0.0,17.0,0.6
2692,12.0,6.0,18.0,0.6
2693,21.0,9.0,30.0,0.8
2694,9.0,5.0,14.0,0.6
2695,18.0,13.0,31.0,0.4
2696,18.0,20.0,38.0,0.5
2697,8.0,2.0,10.0,0.4
2698,7.0,2.0,9.0,0.8
2699,19.0,3.0,22.0,1.0
2700,17.0,1.0,18.0,0.1
2701,8.0,4.0,12.0,0.4
2702,19.0,0.0,19.0,0.2
2703,13.0,17.0,30.0,0.5
2704,12.0,4.0,16.0,0.3
2705,2.0,5.0,7.0,0.4
2706,9.0,3.0,12.0,0.4
2707,23.0,10.0,33.0,0.2
2708,10.0,0.0,10.0,0.9
2709,24.0,8.0,32.0,0.8
2710,24.0,18.0,42.0,0.6
2711,17.0,20.0,37.0,0.7
2712,14.0,19.0,33.0,0.4
2713,14.0,5.0,19.0,0.4
2714,18.0,0.0,18.0,0.2
2715,15.0,2.0,17.0,0.7
2716,15.0,1.0,16.0,0.3
2717,18.0,1.0,19.0,0.2
2718,10.0,1.0,11.0,0.5
2719,12.0,0.0,12.0,0.4
2720,16.0,20.0,36.0,0.4
2721,18.0,2.0,20.0,0.3
2722,15.0,1.0,16.0,0.7
2723,12.0,2.0,14.0,0.9
2724,21.0,15.0,36.0,0.4
2725,13.0,4.0,17.0,0.8
2726,11.0,5.0,16.0,0.7
2727,12.0,0.0,12.0,0.5
2728,10.0,0.0,10.0,0.5
2729,10.0,6.0,16.0,0.7
2730,10.0,2.0,12.0,0.8
2731,13.0,22.0,35.0,0.2
2732,8.0,4.0,12.0,0.9
2733,12.0,1.0,13.0,0.4
2734,18.0,12.0,30.0,0.9
2735,19.0,11.0,30.0,0.4
